Data_NId,IUSNId,TimePeriod_NId,Area_NId,Data_Value,Start_Date,End_Date,Data_Denominator,Source_NId,Indicator_NId,Unit_NId,Subgroup_Val_NId,Indicator_GId,Unit_GId,Subgroup_Val_GId,TimePeriod,Area_GId,Source_GId
5314,1558,318,504,490551,,,,617,794,9,250,b95a8436-be7f-4bfd-9eb0-6df8b2d0901b,784D95D4-0CE0-45D9-BAFF-C9D19082FFDD,3f29dc2a-bd14-4744-9faa-cef5554aceea,2009,7993AF30-FE20-4D8D-908A-637AE87DF811,D9725D2D-92DD-2D47-D992-CBC40062CECE
5261,1597,321,504,74713,,,,617,794,9,270,b95a8436-be7f-4bfd-9eb0-6df8b2d0901b,784D95D4-0CE0-45D9-BAFF-C9D19082FFDD,edb304d8-004b-49e0-8395-cae63d69e526,2012,7993AF30-FE20-4D8D-908A-637AE87DF811,D9725D2D-92DD-2D47-D992-CBC40062CECE
5650,1567,320,504,57579,,,,617,794,9,35,b95a8436-be7f-4bfd-9eb0-6df8b2d0901b,784D95D4-0CE0-45D9-BAFF-C9D19082FFDD,313f7545-ec02-4c19-87c6-d4ac59c996e7,2011,7993AF30-FE20-4D8D-908A-637AE87DF811,D9725D2D-92DD-2D47-D992-CBC40062CECE
5193,1595,322,504,64921,,,,617,794,9,268,b95a8436-be7f-4bfd-9eb0-6df8b2d0901b,784D95D4-0CE0-45D9-BAFF-C9D19082FFDD,6ccdc3f8-68fb-480d-b43d-4f80ea32aee8,2013,7993AF30-FE20-4D8D-908A-637AE87DF811,D9725D2D-92DD-2D47-D992-CBC40062CECE
4289,4603,315,504,26349,,,,617,794,9,425,b95a8436-be7f-4bfd-9eb0-6df8b2d0901b,784D95D4-0CE0-45D9-BAFF-C9D19082FFDD,7e3b5a04-04da-4db4-99c7-d17f444b94fb,2007,7993AF30-FE20-4D8D-908A-637AE87DF811,D9725D2D-92DD-2D47-D992-CBC40062CECE
5520,1589,320,504,85457,,,,617,794,9,265,b95a8436-be7f-4bfd-9eb0-6df8b2d0901b,784D95D4-0CE0-45D9-BAFF-C9D19082FFDD,282d51c9-ba58-4d63-a53c-9de816d81eea,2011,7993AF30-FE20-4D8D-908A-637AE87DF811,D9725D2D-92DD-2D47-D992-CBC40062CECE
4842,1556,308,504,31033,,,,617,794,9,248,b95a8436-be7f-4bfd-9eb0-6df8b2d0901b,784D95D4-0CE0-45D9-BAFF-C9D19082FFDD,daee9739-af9c-490f-ac73-f6a8bbd53f77,2003,7993AF30-FE20-4D8D-908A-637AE87DF811,D9725D2D-92DD-2D47-D992-CBC40062CECE
5015,4571,319,504,49192,,,,617,794,9,393,b95a8436-be7f-4bfd-9eb0-6df8b2d0901b,784D95D4-0CE0-45D9-BAFF-C9D19082FFDD,4dc69d16-d4cc-457d-937c-2adab572ca7b,2010,7993AF30-FE20-4D8D-908A-637AE87DF811,D9725D2D-92DD-2D47-D992-CBC40062CECE
5116,4596,319,504,4196,,,,617,794,9,418,b95a8436-be7f-4bfd-9eb0-6df8b2d0901b,784D95D4-0CE0-45D9-BAFF-C9D19082FFDD,aa892e95-a799-48b5-9dce-7c32af1bbfb5,2010,7993AF30-FE20-4D8D-908A-637AE87DF811,D9725D2D-92DD-2D47-D992-CBC40062CECE
4919,1516,319,504,344366,,,,617,794,9,8,b95a8436-be7f-4bfd-9eb0-6df8b2d0901b,784D95D4-0CE0-45D9-BAFF-C9D19082FFDD,9d0bc5f6-9e75-49c8-9511-8be75aba9275,2010,7993AF30-FE20-4D8D-908A-637AE87DF811,D9725D2D-92DD-2D47-D992-CBC40062CECE
