Subgroup_Val_Subgroup_NId;Subgroup_Val_NId;Subgroup_Val_GId;Subgroup_NId;Subgroup_GId
51;441;962f535f-70c8-40a8-83d7-ac2ddc2b6b12;1;9DC4BB56-CD7D-4F5B-8901-571230F06AD4
52;441;962f535f-70c8-40a8-83d7-ac2ddc2b6b12;34;7dcbb7dd-7221-4f2f-acc2-fc899620ba29
53;442;31f0dfc7-b94b-4b74-bb6d-40f1526d667c;32;3a14e35f-d9fc-4dd4-8ac6-3399bf6d9f61
54;442;31f0dfc7-b94b-4b74-bb6d-40f1526d667c;34;7dcbb7dd-7221-4f2f-acc2-fc899620ba29
55;443;74840a90-938e-4cc5-910f-0dc828018a7c;1;9DC4BB56-CD7D-4F5B-8901-571230F06AD4
56;443;74840a90-938e-4cc5-910f-0dc828018a7c;305;b35051df-a24d-46bb-b541-4737cfab2af4
57;444;737f0279-5fb8-48af-8162-a93b43077957;32;3a14e35f-d9fc-4dd4-8ac6-3399bf6d9f61
58;444;737f0279-5fb8-48af-8162-a93b43077957;305;b35051df-a24d-46bb-b541-4737cfab2af4
59;445;02fe6d23-0a69-4262-b860-1a1b43e998cb;2;D3D49222-62E2-4BB6-B350-6852D992A1D0
60;445;02fe6d23-0a69-4262-b860-1a1b43e998cb;305;b35051df-a24d-46bb-b541-4737cfab2af4
61;446;6735b3de-ef32-430d-ab18-67601cb3d2ab;305;b35051df-a24d-46bb-b541-4737cfab2af4
62;446;6735b3de-ef32-430d-ab18-67601cb3d2ab;246;31d99825-bf8b-4467-8485-6fa5209dc49c
63;447;dfd7dccf-5aa8-4b99-9e38-4ec760533540;34;7dcbb7dd-7221-4f2f-acc2-fc899620ba29
64;447;dfd7dccf-5aa8-4b99-9e38-4ec760533540;246;31d99825-bf8b-4467-8485-6fa5209dc49c
65;448;37deb42d-46a3-4f96-8b5b-9d1f92627198;2;D3D49222-62E2-4BB6-B350-6852D992A1D0
66;448;37deb42d-46a3-4f96-8b5b-9d1f92627198;34;7dcbb7dd-7221-4f2f-acc2-fc899620ba29
77;454;bb15ec6c-1eb2-4a8b-98af-1a549f571cd5;33;c63122ed-ae9f-471a-8401-c5d3730cea8e
78;454;bb15ec6c-1eb2-4a8b-98af-1a549f571cd5;311;895017ad-fab3-4465-a4eb-ea879397c5f1
79;455;27c281d3-b23b-4869-8b55-472128c682d5;33;c63122ed-ae9f-471a-8401-c5d3730cea8e
80;455;27c281d3-b23b-4869-8b55-472128c682d5;312;53597f39-7419-4331-b1f2-00999b6ad7af
81;456;f00e446c-d2a6-4e22-ac53-21992bbdc70f;33;c63122ed-ae9f-471a-8401-c5d3730cea8e
82;456;f00e446c-d2a6-4e22-ac53-21992bbdc70f;313;fa2389dc-3d9d-4d44-bb86-fc0cac06cb08
83;457;4de7a5fa-72b6-440b-8b36-c021040c99f3;33;c63122ed-ae9f-471a-8401-c5d3730cea8e
84;457;4de7a5fa-72b6-440b-8b36-c021040c99f3;314;e7272331-ee4d-4cb9-ae03-ca381be05cae
85;458;ad10f973-ad2e-4047-a357-49519a2a2084;33;c63122ed-ae9f-471a-8401-c5d3730cea8e
86;458;ad10f973-ad2e-4047-a357-49519a2a2084;315;d5b32bb6-8da7-4090-9484-127e38dc80d5
87;459;e372ac3b-5bda-4673-899a-a46fa1daa706;325;fcf843a7-f583-415d-b005-b63953d10152
88;460;81e73c4b-0237-468d-8a91-90ca48965696;324;f17808e4-bab7-47e6-b778-ccda4e63f861
89;461;09bad5f3-f1d8-4f60-8fcd-e91aad651705;321;bee53729-1be8-4566-b64e-5342b1e31082
90;462;2d086e95-afe2-4f7c-9edc-e0ba84154cd7;322;daf2ad3e-60a3-455d-ad80-fc4df2746247
91;463;0b82fe82-f3f3-4afb-be3b-7a4cbece8ef9;326;99457648-46c5-4e0f-bfc5-204d25ec8d12
92;464;6ff5a9b9-ecfa-4dc3-9203-c7b4f0155042;316;016e3dd0-0b77-40d0-981f-f278ae5e6051
93;465;44751518-24c0-4a6d-a61c-85d8be4cf819;320;d4240298-dd35-4f2d-8e7a-0739663cca86
94;466;2644dc7a-7465-4489-a06b-83d83810338b;327;b102d334-a955-4861-861f-2694ead04b79
95;467;428d416a-6248-4357-85f4-4401a8c702e5;330;ef062ebf-7eae-45a2-ba0a-9e34c5cf25d0
96;468;5a21562a-ccdf-4a36-94dc-043ddf0f1c0c;329;29fccd65-cf84-4f17-b430-0c198bb34dea
97;469;81397a61-63ee-4124-b625-4e420092ff51;318;c8b9caf8-e3aa-4e2e-a046-31244ddff537
98;470;ef98629d-8bf6-436e-b48b-dfc928f33d7b;319;2b1a0eb4-ceba-43f6-924f-7b530c605081
99;471;4c0be5bc-2f05-4102-a0dd-4b7ef0a87e49;317;e8a2ab6a-f4f0-4855-9c24-bca1811e2ab7
100;472;dee943b7-efbb-417e-a175-c85f5c135edd;328;b5329707-4416-4bd6-9abf-5081d74af370
101;473;859950cc-aaa9-4d4a-b758-44209d7d99c9;323;a099ca7a-82b2-4048-afce-4ad9cad2b1ad
102;474;2ede66ce-0da3-4792-aad1-70e5f73ec760;331;e5e89e63-1e27-4f18-bd98-65acae36c5b7
103;475;8813fe4d-628b-4852-a413-8208fccadeba;336;e3eecb15-516a-4e44-9e10-fde23cd61caa
104;476;c1d6df11-1abd-4e93-9556-bdb51832e2b1;333;1f26fe23-de81-48dd-b31d-40bc05f27af9
105;477;384eaa6f-6814-4acc-b24c-fb631ed24e59;332;9a871c8c-bfdc-4edc-b2ca-849fdb00dc79
106;478;4dd5a6b2-a560-4c88-bdd0-f2ed38756e05;335;006761f6-b8d6-499f-ad80-f113dbcae1fc
107;479;9bb47676-e9bf-4763-bfcf-65251468e7e2;334;0b84057b-9113-4953-bbea-a33f5cc658ac
108;480;71087e9f-073c-4c33-8700-cd61f68cbd9f;337;4b68afd1-f406-4e78-b259-d4bcce0d4c48
109;481;b47bcdb4-9697-437f-b7e5-581c3ca819c1;33;c63122ed-ae9f-471a-8401-c5d3730cea8e
110;481;b47bcdb4-9697-437f-b7e5-581c3ca819c1;305;b35051df-a24d-46bb-b541-4737cfab2af4
111;482;73e5f2a8-af77-4626-9d44-65a9788dbfa8;33;c63122ed-ae9f-471a-8401-c5d3730cea8e
112;482;73e5f2a8-af77-4626-9d44-65a9788dbfa8;34;7dcbb7dd-7221-4f2f-acc2-fc899620ba29
113;483;53e5d8b8-f9f4-49e9-ae01-7e771803d74c;33;c63122ed-ae9f-471a-8401-c5d3730cea8e
114;483;53e5d8b8-f9f4-49e9-ae01-7e771803d74c;3;B094B64D-6D40-4304-901E-8D4C358EBDE3
115;484;7118f766-1898-47ff-b312-541db8984179;32;3a14e35f-d9fc-4dd4-8ac6-3399bf6d9f61
116;484;7118f766-1898-47ff-b312-541db8984179;3;B094B64D-6D40-4304-901E-8D4C358EBDE3
117;485;bc45d739-12d2-4ac5-a322-c8d634474cf3;33;c63122ed-ae9f-471a-8401-c5d3730cea8e
118;485;bc45d739-12d2-4ac5-a322-c8d634474cf3;4;{D9B383F3-E245-454D-9AA8-04932E7D3CEB}
119;486;758d3cdc-1492-4026-ad41-dda3da62ad95;32;3a14e35f-d9fc-4dd4-8ac6-3399bf6d9f61
120;486;758d3cdc-1492-4026-ad41-dda3da62ad95;4;{D9B383F3-E245-454D-9AA8-04932E7D3CEB}
121;487;b85c95eb-be77-4179-9028-c51f4fc1999a;33;c63122ed-ae9f-471a-8401-c5d3730cea8e
122;487;b85c95eb-be77-4179-9028-c51f4fc1999a;5;25C6CEC6-C5A1-444F-A5E8-9A9E98206A85
123;488;21d7fc6b-6446-45c6-84b1-a49bf4a80188;32;3a14e35f-d9fc-4dd4-8ac6-3399bf6d9f61
124;488;21d7fc6b-6446-45c6-84b1-a49bf4a80188;5;25C6CEC6-C5A1-444F-A5E8-9A9E98206A85
125;489;b9fc88e8-87b7-4366-9cd4-55bf563dc610;338;4945f730-9a70-4942-939e-5a276fe76d8d
126;490;45c17644-d407-40ca-a633-cd8ab4642956;339;a1e3e9f0-ab56-47a9-ab50-80924a568bdd
127;491;ac45b37d-6626-4577-a288-51a70274e84f;119;e4d28d34-a62b-4093-b4aa-9c30d90d4113
128;492;a5a7eb9b-43f8-48a2-b17d-71603d0fe513;341;88661a97-61d3-411d-8078-2dc9c5e0f0c7
129;493;f64594ae-31a4-4aa3-8813-32a26d2257c4;340;583fc39f-11be-437d-b548-165d05d98733
130;494;952ac569-80b7-4609-baf0-34e135f34cb0;344;18cfb624-33dd-4af2-b4cb-775ff6ce3f51
131;495;c3261754-b488-427e-9960-28ed7fe78a3c;342;a2c5d154-323c-40d5-932f-e30c363afcfa
132;496;77f180dd-f6b2-4bfb-b798-e4bd3e1b3212;345;30736628-7ce3-466e-8cd4-4ed3307aeb85
133;497;a7eab03a-bbf3-41ab-8db4-e64c54aefb97;347;7eb34209-ecf3-4c09-99b0-874304473e04
134;498;609e2e81-8ffb-4fe7-8855-c8cffa864375;346;0caf2698-1ee9-4a91-b80e-651df71d200d
135;499;ecb0002c-70eb-453b-be13-f2731e0bf541;343;f4c2eb60-3c6c-4f12-bacc-02822e466995
136;500;526a220e-d0d3-42cd-ab0f-9f344514202c;349;837a3cf3-3dc1-4fc4-a0d2-75787ed1b2d0
137;501;4219084e-ed9d-4b81-9249-2f630e649ba4;350;a09e4d72-ad54-4cc8-ae5b-c550d9728279
138;502;bddd5262-c256-4211-9f75-f4fbf82d7e86;352;859388c3-3701-4c3d-9b6b-e41ea2e91456
139;503;e4bbc312-bfd0-4d67-9f3f-974181a8a063;353;a8835d04-3c12-41c3-8ff1-3784e98ec622
140;504;df7f1725-f04f-4a7c-9226-59ebd63be88a;351;27131a26-3fa7-4abe-8b33-c1c1f87279ec
