Area_NId;Area_Parent_NId;Area_Parent_GId;Area_ID;Area_Name;Area_GId;Area_Level;Area_Map;Area_Block;Area_Global
748;747;4ba90de6-ee78-49d6-9365-9536ca71c68e;AFRCOM002001001;BAMBAO MTSANGA;00736a19-691c-4cce-95f9-16cca4be6745;5;afr_com_l03_1999.shp;;FALSE
749;747;4ba90de6-ee78-49d6-9365-9536ca71c68e;AFRCOM002001002;DOMONI ANJOUAN;8fbfd352-eb8d-4458-9d35-ca220830169c;5;afr_com_l03_1999.shp;;FALSE
750;747;4ba90de6-ee78-49d6-9365-9536ca71c68e;AFRCOM002001003;GEGE;00d77569-5960-4620-9f90-57a89420558c;5;afr_com_l03_1999.shp;;FALSE
751;747;4ba90de6-ee78-49d6-9365-9536ca71c68e;AFRCOM002001004;HACHIPENDA;7b800728-6a44-40d9-b258-d1c457d79657;5;afr_com_l03_1999.shp;;FALSE
752;747;4ba90de6-ee78-49d6-9365-9536ca71c68e;AFRCOM002001005;KONI DJODJO;8298f2ab-6f9a-4a9c-9e55-74d04a32a16b;5;afr_com_l03_1999.shp;;FALSE
753;747;4ba90de6-ee78-49d6-9365-9536ca71c68e;AFRCOM002001006;KONI NGANI;58ecd41d-3117-4951-b34b-9ea4a9b23a14;5;afr_com_l03_1999.shp;;FALSE
754;747;4ba90de6-ee78-49d6-9365-9536ca71c68e;AFRCOM002001007;LIMBI;fdad1e0f-534f-4374-9b10-0d6df0b72ce6;5;afr_com_l03_1999.shp;;FALSE
755;747;4ba90de6-ee78-49d6-9365-9536ca71c68e;AFRCOM002001008;MROMAJI;c7407e49-ed31-4fa3-a51c-0578d99ec824;5;afr_com_l03_1999.shp;;FALSE
756;747;4ba90de6-ee78-49d6-9365-9536ca71c68e;AFRCOM002001009;NGADZALE;4062cb40-831c-4559-a936-c44db4747ad9;5;afr_com_l03_1999.shp;;FALSE
757;747;4ba90de6-ee78-49d6-9365-9536ca71c68e;AFRCOM002001010;ONGONI;8bc1980e-f7e5-47d4-8260-fb165e2dc017;5;afr_com_l03_1999.shp;;FALSE
758;747;4ba90de6-ee78-49d6-9365-9536ca71c68e;AFRCOM002001011;OUTSA;0eb338a1-8047-464c-abbf-21730940fa9d;5;afr_com_l03_1999.shp;;FALSE
759;747;4ba90de6-ee78-49d6-9365-9536ca71c68e;AFRCOM002001012;OUZINI;6eaad01f-1e8a-46ef-8efe-a741f1f7e886;5;afr_com_l03_1999.shp;;FALSE
760;747;4ba90de6-ee78-49d6-9365-9536ca71c68e;AFRCOM002001013;SALAMANI;a3c3c516-9197-4f61-abaa-292552e1e668;5;afr_com_l03_1999.shp;;FALSE
762;761;e44d9716-bd9c-40aa-9a18-6d970f344163;AFRCOM002002001;AKIBANI;410db6f1-dc8a-4d9d-9406-4c3fe7e297e1;5;afr_com_l03_1999.shp;;FALSE
763;761;e44d9716-bd9c-40aa-9a18-6d970f344163;AFRCOM002002002;BANDRAJOU;aebc8107-0880-4e59-abe3-70a03ea9f4b9;5;afr_com_l03_1999.shp;;FALSE
764;761;e44d9716-bd9c-40aa-9a18-6d970f344163;AFRCOM002002003;BANDRANI MTSANGANI;f4b42ca0-22de-437b-af92-d3765008d36b;5;afr_com_l03_1999.shp;;FALSE
765;761;e44d9716-bd9c-40aa-9a18-6d970f344163;AFRCOM002002004;CHIRONKAMBA;f3e70ac5-e17d-4503-9e32-966076a0098f;5;afr_com_l03_1999.shp;;FALSE
766;761;e44d9716-bd9c-40aa-9a18-6d970f344163;AFRCOM002002005;CHITROUNI;1854f9cc-5543-4b83-872f-a768d4db2afd;5;afr_com_l03_1999.shp;;FALSE
767;761;e44d9716-bd9c-40aa-9a18-6d970f344163;AFRCOM002002006;HAIBARA;cbaf4e18-0e5a-414b-9d35-3da946598355;5;afr_com_l03_1999.shp;;FALSE
768;761;e44d9716-bd9c-40aa-9a18-6d970f344163;AFRCOM002002007;MAOUENI ANJOUAN;8e8b1ac1-e417-43a9-98fc-e75ffcfc1df1;5;afr_com_l03_1999.shp;;FALSE
769;761;e44d9716-bd9c-40aa-9a18-6d970f344163;AFRCOM002002008;MDJAMAOUE;a89d5811-ad58-480a-8ab1-f3b55676fc49;5;afr_com_l03_1999.shp;;FALSE
770;761;e44d9716-bd9c-40aa-9a18-6d970f344163;AFRCOM002002009;MDJIMANDRA;0ef6f64a-ccda-4ac9-a883-03ccf9f91a56;5;afr_com_l03_1999.shp;;FALSE
771;761;e44d9716-bd9c-40aa-9a18-6d970f344163;AFRCOM002002010;MIRONTSI ANJOUAN;24ca1060-9751-4c2c-8055-046fed9bbb13;5;afr_com_l03_1999.shp;;FALSE
772;761;e44d9716-bd9c-40aa-9a18-6d970f344163;AFRCOM002002011;MOIMOI I;cccf8d53-e0bc-4140-975e-76f3e81c8d64;5;afr_com_l03_1999.shp;;FALSE
773;761;e44d9716-bd9c-40aa-9a18-6d970f344163;AFRCOM002002012;MOIMOI II;75e9f0a2-5b45-4775-b658-1a9ef8c4ac14;5;afr_com_l03_1999.shp;;FALSE
774;761;e44d9716-bd9c-40aa-9a18-6d970f344163;AFRCOM002002013;MOUJIMVIA;8b482b69-31a8-4b04-92fb-1847bb8eaace;5;afr_com_l03_1999.shp;;FALSE
775;761;e44d9716-bd9c-40aa-9a18-6d970f344163;AFRCOM002002014;MUTSAMUDU;4184a956-b629-41a2-86d0-f66ca652d957;5;afr_com_l03_1999.shp;;FALSE
776;761;e44d9716-bd9c-40aa-9a18-6d970f344163;AFRCOM002002015;PAJE;421ed6b8-31da-43e4-bcde-e13ad96188a3;5;afr_com_l03_1999.shp;;FALSE
777;761;e44d9716-bd9c-40aa-9a18-6d970f344163;AFRCOM002002016;SAANDANI;b1557c51-e721-47b0-8c5a-652ce178cf0c;5;afr_com_l03_1999.shp;;FALSE
779;778;db65a8fc-3718-40a6-bff9-875d3db8f12b;AFRCOM002003001;CHAOUENII;66a9d65a-f713-468d-82f4-1f02adf163ee;5;afr_com_l03_1999.shp;;FALSE
780;778;db65a8fc-3718-40a6-bff9-875d3db8f12b;AFRCOM002003002;CHIRORONI SADAMPOINII;1af8f497-215b-4490-8954-866e8d714577;5;afr_com_l03_1999.shp;;FALSE
781;778;db65a8fc-3718-40a6-bff9-875d3db8f12b;AFRCOM002003003;DZIANII;cae37a69-1f5d-4abe-9ae7-c6eaa663ea69;5;afr_com_l03_1999.shp;;FALSE
782;778;db65a8fc-3718-40a6-bff9-875d3db8f12b;AFRCOM002003004;GNAMBOI MRO;b1242ba0-4045-4a87-9566-5b5d3786ec50;5;afr_com_l03_1999.shp;;FALSE
783;778;db65a8fc-3718-40a6-bff9-875d3db8f12b;AFRCOM002003005;HAMCHACO;2e4ecf08-bcef-45e2-9c34-a18b0868c958;5;afr_com_l03_1999.shp;;FALSE
784;778;db65a8fc-3718-40a6-bff9-875d3db8f12b;AFRCOM002003006;HANTSAHII;2c031ef7-c16d-425c-a298-385736a5445a;5;afr_com_l03_1999.shp;;FALSE
785;778;db65a8fc-3718-40a6-bff9-875d3db8f12b;AFRCOM002003007;KIYO;4236a62d-a200-4638-b6f3-c4d3155e4d69;5;afr_com_l03_1999.shp;;FALSE
